City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Hobart,AU,2022-02-02 01:02:34,-42.8794,147.3294,62.26,49,75,3.0
136,Chuy,UY,2022-02-02 01:04:30,-33.6971,-53.4616,63.12,72,0,6.73
137,Paramonga,PE,2022-02-02 01:05:30,-10.6667,-77.8333,71.78,78,96,8.19
138,Duku,NG,2022-02-02 01:05:31,11.2361,4.9073,67.26,16,12,6.6
139,Puerto Escondido,MX,2022-02-02 01:05:31,15.85,-97.0667,79.63,73,20,16.11
140,Ketchikan,US,2022-02-02 01:05:32,55.3422,-131.6461,33.78,83,100,2.86
141,Bredasdorp,ZA,2022-02-02 01:05:32,-34.5322,20.0403,73.4,78,6,1.61
142,Troitsko-Pechorsk,RU,2022-02-02 01:05:33,62.7084,56.1964,23.07,95,100,8.21
143,Georgetown,MY,2022-02-02 01:01:33,5.4112,100.3354,82.33,78,20,3.44
144,Luderitz,NA,2022-02-02 01:05:33,-26.6481,15.1594,63.68,91,67,7.87
145,Clyde River,CA,2022-02-02 01:00:37,70.4692,-68.5914,-27.42,82,95,2.33
146,Wamba,NG,2022-02-02 01:05:34,8.9333,8.6,68.23,21,0,3.44
147,Ligayan,PH,2022-02-02 01:05:34,4.6533,119.4706,81.01,78,49,7.02
148,Ayame,CI,2022-02-02 01:05:35,5.6083,-3.1563,73.13,96,93,0.6
149,Cabo San Lucas,MX,2022-02-02 01:01:37,22.8909,-109.9124,71.62,54,0,9.95
150,Dikson,RU,2022-02-02 01:05:35,73.5069,80.5464,2.43,94,100,16.96
151,Palmas Bellas,PA,2022-02-02 01:05:36,9.2319,-80.0867,79.34,83,31,7.05
152,Trapani,IT,2022-02-02 01:05:36,37.8333,12.6667,51.98,71,7,10.98
153,Novosilikatnyy,RU,2022-02-02 01:05:37,53.3097,83.6239,12.78,79,0,2.24
154,Airai,TL,2022-02-02 00:51:45,-8.9266,125.4092,69.6,63,100,4.09
155,Celestun,MX,2022-02-02 01:05:37,20.8667,-90.4,74.03,81,12,10.92
156,Lebu,CL,2022-02-02 01:05:38,-37.6167,-73.65,58.98,94,5,10.25
157,Pevek,RU,2022-02-02 01:05:38,69.7008,170.3133,-6.88,79,100,3.36
158,Kattivakkam,IN,2022-02-02 01:05:39,13.2167,80.3167,74.07,87,6,2.15
159,Mildura,AU,2022-02-02 01:05:40,-34.2,142.15,67.06,44,0,17.36
160,Naberera,TZ,2022-02-02 00:59:58,-4.2,36.9333,62.1,84,54,2.04
161,Sakakah,SA,2022-02-02 01:05:40,29.9697,40.2064,44.91,52,0,6.73
162,Banjarmasin,ID,2022-02-02 01:05:41,-3.3244,114.591,77.14,71,100,0.67
163,Mana,GF,2022-02-02 01:05:41,5.6592,-53.7767,77.79,81,69,11.56
164,Alibag,IN,2022-02-02 01:05:42,18.6411,72.8792,66.27,65,0,4.03
165,Sehithwa,BW,2022-02-02 01:05:42,-20.4667,22.7167,67.89,92,1,4.88
166,Shenkursk,RU,2022-02-02 01:05:43,62.1091,42.896,15.75,97,100,3.42
167,Pangody,RU,2022-02-02 01:05:43,65.85,74.4859,-18.24,100,100,6.38
168,Butaritari,KI,2022-02-02 01:05:44,3.0707,172.7902,82.0,77,18,11.72
169,Cururupu,BR,2022-02-02 01:05:44,-1.8283,-44.8683,75.99,93,91,4.85
170,Murray Bridge,AU,2022-02-02 01:05:45,-35.1167,139.2667,72.68,44,34,15.46
171,Souillac,MU,2022-02-02 01:01:04,-20.5167,57.5167,80.37,93,100,28.83
172,Belmonte,BR,2022-02-02 01:05:45,-15.8631,-38.8828,79.3,84,1,8.3
173,Skibbereen,IE,2022-02-02 01:05:46,51.55,-9.2667,48.0,85,10,13.13
174,Itarema,BR,2022-02-02 01:05:47,-2.9248,-39.9167,79.3,79,93,12.95
175,Tessalit,ML,2022-02-02 01:05:47,20.1986,1.0114,62.55,19,99,12.39
176,Kavieng,PG,2022-02-02 01:05:47,-2.5744,150.7967,81.37,75,100,5.68
177,Vengerovo,RU,2022-02-02 01:05:48,55.6848,76.7471,-2.38,100,100,4.45
178,Atambua,ID,2022-02-02 01:05:48,-9.1061,124.8925,79.5,73,92,8.05
179,Samarai,PG,2022-02-02 00:56:43,-10.6167,150.6667,81.63,76,100,10.6
