City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Igarka,RU,67.4667,86.5833,-10.88,92,100,13.13,overcast clouds
183,Cockburn Town,TC,21.4612,-71.1419,76.96,73,40,18.41,scattered clouds
184,Bengkulu,ID,-3.8004,102.2655,77.2,82,98,5.68,overcast clouds
185,Chimore,BO,-16.9833,-65.1333,74.57,76,87,2.48,overcast clouds
186,Edewecht,DE,53.1333,7.9833,48.42,97,100,16.55,overcast clouds
187,Codrington,AU,-38.2667,141.9667,70.05,64,89,11.52,overcast clouds
188,Bouafle,CI,6.9904,-5.7442,80.62,68,24,3.15,few clouds
189,Kralendijk,BQ,12.15,-68.2667,78.78,78,20,16.11,few clouds
190,Moerai,PF,-22.4333,-151.3333,79.92,79,94,15.99,light rain
191,Calamar,CO,10.2511,-74.9146,80.55,76,32,7.49,scattered clouds
192,Nikolskoye,RU,59.7035,30.7861,31.71,97,100,4.81,light snow
193,Paamiut,GL,61.994,-49.6678,0.73,78,100,13.02,overcast clouds
194,Hohhot,CN,40.8106,111.6522,12.49,79,75,2.24,broken clouds
195,Yellowknife,CA,62.456,-114.3525,-14.58,81,75,4.61,broken clouds
196,Fairbanks,US,64.8378,-147.7164,6.76,68,75,4.61,broken clouds
197,Matara,LK,5.9485,80.5353,75.33,72,100,1.97,overcast clouds
198,Rocha,UY,-34.4833,-54.3333,59.41,81,0,1.9,clear sky
199,Manzhouli,CN,49.6,117.4333,2.66,95,99,7.07,overcast clouds
200,Chuy,UY,-33.6971,-53.4616,63.32,79,8,6.46,clear sky
201,Acajutla,SV,13.5928,-89.8275,80.8,71,9,6.87,clear sky
202,Kashan,IR,33.9831,51.4364,45.84,31,4,1.77,clear sky
203,Westport,US,41.1415,-73.3579,37.15,67,0,12.66,clear sky
204,Abu Kamal,SY,34.4506,40.9171,53.6,44,98,7.02,overcast clouds
205,Sandnessjoen,NO,66.0217,12.6316,36.64,78,100,10.0,light rain
206,Surt,LY,31.2089,16.5887,55.06,54,5,16.8,clear sky
207,Madang,PG,-5.2246,145.7966,84.09,74,79,1.41,broken clouds
208,Taitung,TW,22.7583,121.1444,64.67,88,75,2.3,broken clouds
209,Port Hedland,AU,-20.3167,118.5667,82.45,83,40,5.75,scattered clouds
210,Atar,MR,20.5169,-13.0499,72.07,11,100,8.59,overcast clouds
211,Monterey,US,36.2505,-121.2516,65.97,37,4,0.83,clear sky
212,Srivardhan,IN,18.0333,73.0167,65.84,87,25,6.29,scattered clouds
213,Stokmarknes,NO,68.5646,14.9108,34.5,68,100,19.28,light snow
214,Andros Town,BS,24.7,-77.7667,73.36,73,38,4.03,scattered clouds
215,Imeni Poliny Osipenko,RU,52.4201,136.4853,-2.43,98,98,1.12,overcast clouds
216,Cidreira,BR,-30.1811,-50.2056,69.82,75,0,8.43,clear sky
217,Zhigansk,RU,66.7697,123.3711,-42.32,100,89,0.92,overcast clouds
218,Poum,NC,-20.2333,164.0167,82.08,85,100,25.99,overcast clouds
219,Cabo San Lucas,MX,22.8909,-109.9124,76.3,57,4,5.01,clear sky
220,Obama,JP,35.4958,135.746,43.95,70,88,10.96,overcast clouds
221,Fengxian,CN,34.7039,116.5872,37.71,54,100,3.69,overcast clouds
222,Buala,SB,-8.145,159.5921,80.69,85,100,8.3,moderate rain
223,Tabou,CI,4.423,-7.3528,78.49,86,16,6.96,few clouds
224,Dingle,PH,10.9995,122.6711,80.22,72,12,15.88,few clouds
225,Sechelt,CA,49.4664,-123.7694,46.35,95,100,3.89,overcast clouds
226,Kalmunai,LK,7.4167,81.8167,76.19,73,100,6.98,overcast clouds
227,Kalga,RU,50.9251,118.898,-4.0,98,61,3.69,broken clouds
228,Vao,NC,-22.6667,167.4833,81.18,86,100,19.55,overcast clouds
229,Grand-Santi,GF,4.25,-54.3833,72.1,99,61,2.59,broken clouds
230,Porto Santo,PT,33.072,-16.3415,68.31,68,20,12.66,few clouds
231,Plouzane,FR,48.3833,-4.6167,46.72,96,100,6.91,mist
232,Lorengau,PG,-2.0226,147.2712,82.96,80,93,8.97,overcast clouds
233,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.75,97,100,1.03,overcast clouds
234,Hamilton,US,39.1834,-84.5333,42.21,69,0,6.91,clear sky
235,Innisfail,AU,-17.5333,146.0333,82.47,66,12,4.65,few clouds
236,Kununurra,AU,-15.7667,128.7333,82.38,74,73,3.44,broken clouds
237,San Lorenzo,PY,-25.3333,-57.5333,76.59,53,0,5.99,clear sky
238,Severo-Yeniseyskiy,RU,60.3725,93.0408,-26.7,100,11,2.21,few clouds
239,Sechura,PE,-5.5569,-80.8222,73.85,68,100,10.8,overcast clouds
240,Selfoss,IS,63.9331,-20.9971,30.09,84,100,8.68,overcast clouds
241,Chuncheng,CN,22.1731,111.7886,57.02,86,97,6.35,overcast clouds
242,Oneida,US,43.2001,-75.4663,29.01,74,100,10.36,overcast clouds
243,Tasiilaq,GL,65.6145,-37.6368,21.36,79,100,8.43,overcast clouds
244,Tonaya,MX,19.7833,-103.9667,73.83,47,9,5.1,clear sky
245,Cayenne,GF,4.9333,-52.3333,80.1,84,20,5.01,few clouds
246,Warrnambool,AU,-38.3833,142.4833,68.61,74,51,12.73,broken clouds
247,Alofi,NU,-19.0595,-169.9187,80.49,83,75,9.22,broken clouds
248,Coquimbo,CL,-29.9533,-71.3436,64.22,84,40,5.39,scattered clouds
249,Kenitra,MA,34.261,-6.5802,48.96,62,3,9.73,clear sky
250,Sabang,ID,5.8933,95.3214,81.1,75,62,7.63,broken clouds
251,Kaitangata,NZ,-46.2817,169.8464,59.83,86,100,11.01,overcast clouds
252,Hami,CN,42.8,93.45,22.23,42,0,0.22,clear sky
253,Santa Rosa,PH,14.3122,121.1114,84.09,67,10,15.01,clear sky
254,Tecoanapa,MX,16.5167,-98.75,78.46,66,67,4.7,broken clouds
255,Meulaboh,ID,4.1363,96.1285,76.12,87,100,4.47,overcast clouds
256,Magadan,RU,59.5667,150.8,9.03,69,55,6.4,broken clouds
257,Butaritari,KI,3.0707,172.7902,82.27,76,97,15.5,light rain
258,Yulara,AU,-25.2406,130.9889,80.44,36,75,18.41,broken clouds
259,Port Hardy,CA,50.6996,-127.4199,47.75,93,100,13.8,light rain
260,Tarauaca,BR,-8.1614,-70.7656,72.79,98,100,0.76,overcast clouds
261,Kahului,US,20.8947,-156.47,82.42,64,20,17.27,few clouds
262,Sanandaj,IR,35.3144,46.9923,26.62,80,0,0.0,clear sky
263,Geraldton,AU,-28.7667,114.6,71.13,68,0,14.97,clear sky
264,Chancay,PE,-11.5714,-77.2672,73.8,80,78,4.12,broken clouds
265,Raudeberg,NO,61.9875,5.1352,39.87,93,100,14.0,overcast clouds
266,Bullhead City,US,35.1478,-114.5683,77.61,9,0,24.16,clear sky
267,Portobelo,PA,9.55,-79.65,81.01,81,48,9.26,scattered clouds
268,Dikson,RU,73.5069,80.5464,3.43,94,100,22.53,overcast clouds
269,Uchkeken,RU,43.9378,42.5117,28.09,77,100,6.33,light snow
270,Muroto,JP,33.2833,134.15,44.64,62,6,7.2,clear sky
271,Bekhtery,UA,46.251,32.2927,28.99,75,7,13.71,clear sky
272,Pokaran,IN,26.9167,71.9167,60.04,60,5,7.07,clear sky
273,Sabha,LY,27.0377,14.4283,51.08,65,5,12.48,clear sky
274,Tigil,RU,57.8,158.6667,10.65,80,76,2.26,broken clouds
275,Grand Gaube,MU,-20.0064,57.6608,75.6,80,100,1.99,overcast clouds
276,Kruisfontein,ZA,-34.0033,24.7314,64.74,63,99,7.94,overcast clouds
277,Waingapu,ID,-9.6567,120.2641,84.0,68,78,2.19,broken clouds
278,Nago,JP,26.5881,127.9761,66.27,70,48,8.72,scattered clouds
279,Guerrero Negro,MX,27.9769,-114.0611,66.52,43,11,12.28,few clouds
280,Marzuq,YE,14.4,46.4667,56.64,36,1,2.8,clear sky
281,Maniitsoq,GL,65.4167,-52.9,0.55,96,100,21.14,light snow
